,school.id,school.name,school.region,school.region.name,school.province,school.cityhall,school.division,school.citymuni,school.district,school.legdistrict,school.type,school.abbrev,school.previousname,school.mother.id,school.address,school.established,school.classification,school.classification2,school.curricularclass,school.organization,school.cityincome,school.cityclass,school.urban,School ID_x,Kinder Male,Kinder Female,Grade 1 Male,Grade 1 Female,Grade 2 Male,Grade 2 Female,Grade 3 Male,Grade 3 Female,Grade 4 Male,Grade 4 Female,Grade 5 Male,Grade 5 Female,Grade 6 Male,Grade 6 Female,SPED NG Male,SPED NG Female,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female, school.mooe ,School ID_y,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped,MOOE
1,102193,A. P. Santos ES (SPED Center),Region I,Ilocos Region,ILOCOS NORTE,ILOCOS NORTE,Laoag City,LAOAG CITY (Capital),Laoag City District II,1st District,School with no Annexes,APSES,-,102193.0,A.G. Tupaz,1/1/1944,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102193.0,20.0,24.0,38.0,30.0,37.0,18.0,29.0,33.0,23.0,41.0,39.0,27.0,26.0,26.0,32.0,22.0,,,,,,,,,,,,,275000.0,102193.0,13.0,3.0,0.0,0.0,0.0,2.0,12.0,4.0,275000.0
7,102252,Abanon Central School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District IV,3rd District,School with no Annexes,Abanon CS,Abanon Central Elementary School,102252.0,"-Brgy. Abanon, San Carlos City",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102252.0,53.0,49.0,61.0,68.0,85.0,53.0,65.0,64.0,71.0,58.0,56.0,56.0,58.0,51.0,5.0,1.0,,,,,,,,,,,,,440000.0,102252.0,24.0,0.0,0.0,0.0,0.0,4.0,22.0,1.0,440000.0
22,102226,Agdao Integrated School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Agdao IS,Agdao Elementary School,102226.0,"Brgy. Agdao, San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Integrated - Elem & Sec,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102226.0,47.0,64.0,73.0,48.0,64.0,48.0,58.0,49.0,61.0,42.0,45.0,47.0,41.0,51.0,4.0,3.0,,,,,,,,,,,,,381000.0,102226.0,20.0,0.0,0.0,0.0,0.0,4.0,20.0,1.0,381000.0
24,101132,Agno CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",AGNO,Agno,1st District,School with no Annexes,ACS,-,101132.0,MABINI,1/1/1904,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,101132.0,41.0,35.0,44.0,46.0,70.0,68.0,55.0,57.0,59.0,57.0,52.0,47.0,40.0,46.0,9.0,6.0,,,,,,,,,,,,,392000.0,101132.0,23.0,0.0,0.0,0.0,0.0,6.0,18.0,1.0,392000.0
29,101149,Aguilar CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",AGUILAR,Aguilar,2nd District,School with no Annexes,,NONE,101149.0,Pogomboa,1/1/1924,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,101149.0,57.0,53.0,78.0,70.0,70.0,86.0,91.0,80.0,90.0,75.0,88.0,82.0,104.0,79.0,9.0,12.0,,,,,,,,,,,,,536000.0,101149.0,18.0,0.0,0.0,0.0,0.0,4.0,29.0,1.0,536000.0
33,101166,Alaminos CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,Alaminos City,CITY OF ALAMINOS,District I,1st District,School with no Annexes,ACS,-,101166.0,SAN JOSE DRIVE,1/1/1921,Elementary,DepED Managed,Elementary,Monograde,P 160 M or more but less than P 240 M,Component City,Partially Urban,101166.0,100.0,103.0,129.0,127.0,141.0,144.0,182.0,168.0,166.0,141.0,172.0,150.0,133.0,135.0,12.0,11.0,,,,,,,,,,,,,897000.0,101166.0,41.0,0.0,0.0,0.0,0.0,12.0,39.0,1.0,897000.0
98,102227,Ano Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District II,3rd District,School with no Annexes,Ano ES,-,102227.0,"Brgy. Ano, San Carlos City, Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102227.0,22.0,24.0,38.0,20.0,29.0,34.0,32.0,19.0,27.0,37.0,29.0,30.0,29.0,29.0,0.0,2.0,,,,,,,,,,,,,247000.0,102227.0,13.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,247000.0
130,100819,Aringay Central Elem.. School,Region I,Ilocos Region,LA UNION,LA UNION,La Union,ARINGAY,Aringay,2nd District,School with no Annexes,,Aringay CES,100819.0,-,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,100819.0,117.0,91.0,117.0,114.0,117.0,92.0,135.0,119.0,114.0,117.0,138.0,112.0,128.0,109.0,0.0,0.0,,,,,,,,,,,,,723000.0,100819.0,34.0,0.0,0.0,0.0,0.0,10.0,33.0,3.0,723000.0
191,100026,Badoc South Central School SPED Center,Region I,Ilocos Region,ILOCOS NORTE,ILOCOS NORTE,Ilocos Norte,BADOC,Badoc,2nd District,School with no Annexes,bscs sc,Badoc South Central School,100026.0,Poblacion,1/1/1936,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,100026.0,40.0,34.0,46.0,44.0,45.0,33.0,60.0,21.0,44.0,59.0,63.0,59.0,46.0,48.0,7.0,4.0,,,,,,,,,,,,,354000.0,100026.0,16.0,0.0,0.0,0.0,0.0,3.0,17.0,1.0,354000.0
218,100875,Balaoan CES,Region I,Ilocos Region,LA UNION,LA UNION,La Union,BALAOAN,Balaoan,1st District,School with no Annexes,,-,100875.0,Provincial road,1/1/1920,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,100875.0,48.0,62.0,86.0,83.0,91.0,62.0,71.0,55.0,86.0,76.0,79.0,65.0,69.0,65.0,20.0,13.0,,,,,,,,,,,,,507000.0,100875.0,25.0,0.0,0.0,1.0,0.0,8.0,24.0,2.0,507000.0
227,102239,Baldog Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District III,3rd District,School with no Annexes,Baldog ES,-,102239.0,"Brgy. Baldog, San Carlos City, Pangasinan",1/1/1942,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102239.0,45.0,36.0,27.0,36.0,42.0,42.0,68.0,37.0,35.0,44.0,57.0,30.0,46.0,42.0,2.0,3.0,,,,,,,,,,,,,335000.0,102239.0,14.0,0.0,4.0,0.0,0.0,2.0,20.0,1.0,335000.0
253,101639,Banaoang CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",SANTA BARBARA,Sta. Barbara II,3rd District,School with no Annexes,Bana,Banaoang CS,101639.0,Banaoang Sta. Barbara,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Urban,101639.0,65.0,59.0,67.0,69.0,58.0,53.0,88.0,63.0,69.0,74.0,70.0,56.0,68.0,68.0,10.0,8.0,,,,,,,,,,,,,436000.0,101639.0,27.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,436000.0
268,100516,Banglayan Elementary School,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,NARVACAN,Narvacan North,2nd District,School with no Annexes,,Banglayan ES,100516.0,-,1/1/1946,Elementary,DepED Managed,Elementary,Combined Monograde and Multigrade,P 45 M or more but less than P 55 M,,Partially Urban,100516.0,9.0,9.0,13.0,17.0,14.0,6.0,6.0,11.0,12.0,9.0,0.0,0.0,8.0,15.0,13.0,13.0,,,,,,,,,,,,,113000.0,100516.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,113000.0
272,101228,BANI EAST INTEGRATED SCHOOL,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",BANI,Bani,1st District,School with no Annexes,BECS,Bani East CS,101228.0,RIZAL ST.,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,101228.0,26.0,24.0,39.0,48.0,47.0,61.0,57.0,58.0,54.0,60.0,55.0,54.0,56.0,49.0,23.0,14.0,,,,,,,,,,,,,375000.0,101228.0,16.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,375000.0
285,100371,Bantay West Central School,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,BANTAY,Bantay,1st District,School with no Annexes,BWCS,,100371.0,National Highway,1/1/1914,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,100371.0,22.0,20.0,22.0,30.0,27.0,28.0,29.0,29.0,21.0,38.0,29.0,25.0,39.0,40.0,9.0,7.0,,,,,,,,,,,,,256000.0,100371.0,14.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,256000.0
337,101254,Basista CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",BASISTA,Basista,2nd District,School with no Annexes,BCS,-,101254.0,AG FRIAS,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Urban,101254.0,87.0,81.0,113.0,121.0,124.0,96.0,108.0,105.0,106.0,96.0,127.0,93.0,118.0,92.0,3.0,5.0,,,,,,,,,,,,,696000.0,101254.0,34.0,0.0,0.0,0.0,0.0,4.0,45.0,0.0,696000.0
349,101749,Bautista CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",BAUTISTA,Bautista,5th District,School with no Annexes,BCS,none,101749.0,National Highway,1/1/1920,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,101749.0,75.0,86.0,87.0,79.0,107.0,78.0,106.0,100.0,98.0,81.0,109.0,95.0,85.0,98.0,0.0,0.0,,,,,,,,,,,,,631000.0,101749.0,30.0,0.0,0.0,0.0,0.0,7.0,32.0,1.0,631000.0
364,100613,Bayubay ES,Region I,Ilocos Region,ILOCOS SUR,ILOCOS SUR,Ilocos Sur,SAN VICENTE,San Vicente,1st District,School with no Annexes,,,100613.0,-,1/1/2000,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,100613.0,9.0,10.0,4.0,9.0,13.0,9.0,11.0,10.0,10.0,10.0,12.0,11.0,15.0,13.0,0.0,1.0,,,,,,,,,,,,,148000.0,100613.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,148000.0
397,101756,Binalonan North CS SPED Center,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",BINALONAN,Binalonan I,5th District,School with no Annexes,BNCS SPED Center,Binalonan North CS,101756.0,Mc. Kinley St.,1/1/1909,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 55 M or more,,Partially Urban,101756.0,108.0,74.0,100.0,97.0,99.0,120.0,116.0,118.0,115.0,108.0,132.0,103.0,129.0,93.0,25.0,22.0,,,,,,,,,,,,,691000.0,101756.0,26.0,0.0,0.0,0.0,0.0,5.0,32.0,0.0,691000.0
402,101311,Binmaley I CS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",BINMALEY,Binmaley I,2nd District,School with no Annexes,,-,101311.0,"Burgos St., Poblacion",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,101311.0,62.0,62.0,75.0,89.0,72.0,85.0,85.0,96.0,74.0,74.0,79.0,101.0,54.0,67.0,24.0,7.0,,,,,,,,,,,,,544000.0,101311.0,28.0,0.0,0.0,0.0,0.0,4.0,28.0,2.0,544000.0
427,102241,Bogaoan Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District III,3rd District,School with no Annexes,Bogaoan ES,-,102241.0,"Brgy. Bogaoan, San Carlos City, Pangasinan",1/1/1978,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102241.0,41.0,31.0,44.0,20.0,31.0,34.0,32.0,45.0,29.0,31.0,39.0,39.0,34.0,31.0,4.0,5.0,,,,,,,,,,,,,244000.0,102241.0,12.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,244000.0
438,101342,Bolinao IS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",BOLINAO,Bolinao,1st District,School with no Annexes,,-Bolinao CS,101342.0,-,1/1/2000,Elementary,DepED Managed,Integrated - Elem & Sec,Monograde,P 55 M or more,,Partially Urban,101342.0,96.0,79.0,129.0,117.0,149.0,110.0,121.0,100.0,117.0,96.0,109.0,106.0,116.0,109.0,0.0,0.0,,,,,,,,,,,,,655000.0,101342.0,24.0,0.0,0.0,0.0,0.0,3.0,32.0,2.0,655000.0
473,101375,Bugallon IS,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan I, Lingayen",BUGALLON,Bugallon I,2nd District,School with no Annexes,,Bugallon I CS,101375.0,"ESPINO St. Poblacion Bugallon,Pangasinan",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,101375.0,77.0,65.0,72.0,91.0,91.0,82.0,89.0,69.0,103.0,96.0,82.0,75.0,76.0,85.0,8.0,6.0,,,,,,,,,,,,,537000.0,101375.0,22.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,537000.0
484,101968,Bulangit ES,Region I,Ilocos Region,PANGASINAN,PANGASINAN,"Pangasinan II, Binalonan",SAN NICOLAS,San Nicolas I,6th District,School with no Annexes,,-,101968.0,"-Lagpan, San Felipe East",1/1/1960,Elementary,DepED Managed,Elementary,Combined Monograde and Multigrade,P 55 M or more,,Partially Urban,101968.0,12.0,9.0,13.0,14.0,13.0,10.0,9.0,10.0,12.0,15.0,10.0,5.0,8.0,12.0,0.0,1.0,,,,,,,,,,,,,113000.0,101968.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,113000.0
519,102256,C. P. Gutierrez Elementary School,Region I,Ilocos Region,PANGASINAN,PANGASINAN,San Carlos City,SAN CARLOS CITY,San Carlos City District IV,3rd District,School with no Annexes,C.P. Gutierrez ES,-,102256.0,"Sitio Nambocor,Calobaoan, San Carlos City",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,102256.0,25.0,14.0,32.0,24.0,25.0,19.0,22.0,19.0,11.0,22.0,21.0,17.0,22.0,12.0,4.0,1.0,,,,,,,,,,,,,152000.0,102256.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,152000.0
